================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   o   o   o   o   o   o   o   o 
 in 1e-09 sec | l   s   n   u   u   u   u   u   u   u   u 
              | k   t   c   t   t   t   t   t   t   t   t 
              |         r   p   p   p   p   p   p   p   p 
              |         e   u   u   u   u   u   u   u   u 
              |         a   t   t   t   t   t   t   t   t 
              |         s   _   _   _   _   _   _   _   _ 
              |         e   7   7   7   7   7   7   7   7 
              |             _   _   _   _   _   _   _   _ 
              |             0   0   0   0   0   0   0   0 
              |             _   _   _   _   _   _   _   _ 
              |             7   6   5   4   3   2   1   0 
================================================================================
          0.0 | 1   x   0   x   x   x   x   x   x   x   x
          0.0 | 1   x   0   0   0   1   1   1   1   1   1
         85.0 | 0   x   0   0   0   1   1   1   1   1   1
         90.0 | 0   1   0   0   0   1   1   1   1   1   1
        170.0 | 1   1   0   0   0   1   1   1   1   1   1
        171.3 | 1   1   0   0   0   0   1   1   1   1   1
        171.9 | 1   1   0   0   0   0   0   1   1   1   1
        172.1 | 1   1   0   0   0   0   0   0   1   1   1
        172.5 | 1   1   0   0   0   0   0   0   0   1   1
        173.0 | 1   1   0   0   0   0   0   0   0   0   1
        173.3 | 1   1   0   0   0   0   0   0   0   0   0
        180.0 | 1   0   0   0   0   0   0   0   0   0   0
        255.0 | 0   0   0   0   0   0   0   0   0   0   0
        270.0 | 0   0   1   0   0   0   0   0   0   0   0
        340.0 | 1   0   1   0   0   0   0   0   0   0   0
        341.6 | 1   0   1   0   0   0   0   0   0   0   1
        425.0 | 0   0   1   0   0   0   0   0   0   0   1
        510.0 | 1   0   1   0   0   0   0   0   0   0   1
        511.4 | 1   0   1   0   0   0   0   0   0   1   1
        595.0 | 0   0   1   0   0   0   0   0   0   1   1
        680.0 | 1   0   1   0   0   0   0   0   0   1   1
        765.0 | 0   0   1   0   0   0   0   0   0   1   1
        850.0 | 1   0   1   0   0   0   0   0   0   1   1
        851.3 | 1   0   1   0   0   0   0   0   0   0   1
        851.6 | 1   0   1   0   0   0   0   0   1   0   0
        851.8 | 1   0   1   0   0   0   0   0   1   1   1
        935.0 | 0   0   1   0   0   0   0   0   1   1   1
       1020.0 | 1   0   1   0   0   0   0   0   1   1   1
       1105.0 | 0   0   1   0   0   0   0   0   1   1   1
       1170.0 | 0   0   0   0   0   0   0   0   1   1   1
       1190.0 | 1   0   0   0   0   0   0   0   1   1   1
       1270.0 | 1   0   1   0   0   0   0   0   1   1   1
       1275.0 | 0   0   1   0   0   0   0   0   1   1   1
       1360.0 | 1   0   1   0   0   0   0   0   1   1   1
       1370.0 | 1   0   0   0   0   0   0   0   1   1   1
       1445.0 | 0   0   0   0   0   0   0   0   1   1   1
       1530.0 | 1   0   0   0   0   0   0   0   1   1   1
       1615.0 | 0   0   0   0   0   0   0   0   1   1   1
       1700.0 | 1   0   0   0   0   0   0   0   1   1   1
       1785.0 | 0   0   0   0   0   0   0   0   1   1   1
       1870.0 | 1   0   0   0   0   0   0   0   1   1   1
       1954.9 | 1   0   0   0   0   0   0   0   1   1   1
================================================================================
  network : Log_score                                              nodes : 241  
================================================================================
